product_code,default_billing_dimension,billing_dimensions,usage_unit,usage_page_name,dimension,dimension_name,netsuite_name,revenue_accounting_name,salesforce_name,salesforce_display_name,website_name,datadog_product,product_name,usage_page_category,salesforce_family,salesforce_product_category,salesforce_product_family,website_product_category,website_product_nav_category,rda_product_category,rda_product_family,revenue_accounting_category,fpa_product_family,fpa_public_reporting_group
LOGS-180DAY,logs_indexed_180day,logs_indexed_180day|logs_indexed,log event,Indexed Logs (180 Day Retention),logs_indexed_180day,Indexed Logs (180 Day Retention),Committed Indexed Log Events - 180 Days (Bundle of 1M),On-Demand Indexed Log Events - 180 Days (Bundle of 1M)|Committed Indexed Log Events - 180 Days (Bundle of 1M),Log Events - 180 Days (Bundle of 1M),Log Events (180 Day Retention Period),,logs,Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-1DAY,logs_indexed_1day,logs_indexed_1day,log event,Indexed Logs (1 Day Retention),logs_indexed_1day,Indexed Logs (1 Day Retention),,,Log Events - 1 Days (Bundle of 1M),Log Events (1 Day Retention Period),,logs,Logs,log-management,Logs,Logs,Logs,,,logs,logs,,Indexed Logs,Logs
LOGS-30DAY,logs_indexed_30day,logs_indexed_30day|logs_indexed,log event,Indexed Logs (30 Day Retention),logs_indexed_30day,Indexed Logs (30 Day Retention),Committed Indexed Log Events - 30 Days (Bundle of 1M),On-Demand Indexed Log Events - 30 Days (Bundle of 1M)|Committed Indexed Log Events - 30 Days (Bundle of 1M),Log Events - 30 Days (Bundle of 1M),Log Events (30 Day Retention Period),Logs - Indexed Log Events (30-day retention),logs,Logs,log-management,Logs,Logs,Logs,Log Management,Logs,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-360DAY,logs_indexed_360day,logs_indexed_360day|logs_indexed,log event,Indexed Logs (360 Day Retention),logs_indexed_360day,Indexed Logs (360 Day Retention),Committed Indexed Log Events - 360 Days (Bundle of 1M),Committed Indexed Log Events - 360 Days (Bundle of 1M)|On-Demand Indexed Log Events - 360 Days (Bundle of 1M),Custom - Log Events - 360 Days (Bundle of 1M),Log Events (360 Day Retention Period),,logs,Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-3DAY,logs_indexed_3day,logs_indexed_3day|logs_indexed,log event,Indexed Logs (3 Day Retention),logs_indexed_3day,Indexed Logs (3 Day Retention),Committed Indexed Log Events - 3 Days (Bundle of 1M),On-Demand Indexed Log Events - 3 Days (Bundle of 1M)|Committed Indexed Log Events - 3 Days (Bundle of 1M),Log Events - 3 Days (Bundle of 1M),Log Events (3 Day Retention Period),Logs - Indexed Log Events (3-day retention),logs,Logs,log-management,Logs,Logs,Logs,Log Management,Logs,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-45DAY,logs_indexed_45day,logs_indexed_45day|logs_indexed,log event,Indexed Logs (45 Day Retention),logs_indexed_45day,Indexed Logs (45 Day Retention),Committed Indexed Log Events - 45 Days (Bundle of 1M),Committed Indexed Log Events - 45 Days (Bundle of 1M)|On-Demand Indexed Log Events - 45 Days (Bundle of 1M),Log Events - 45 Days (Bundle of 1M),Log Events (45 Day Retention Period),,logs,Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-60DAY,logs_indexed_60day,logs_indexed_60day|logs_indexed,log event,Indexed Logs (60 Day Retention),logs_indexed_60day,Indexed Logs (60 Day Retention),Committed Indexed Log Events - 60 Days (Bundle of 1M),On-Demand Indexed Log Events - 60 Days (Bundle of 1M)|Committed Indexed Log Events - 60 Days (Bundle of 1M),Log Events - 60 Days (Bundle of 1M),Log Events (60 Day Retention Period),,logs,Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-7DAY,logs_indexed_7day,logs_indexed_7day|logs_indexed,log event,Indexed Logs (7 Day Retention),logs_indexed_7day,Indexed Logs (7 Day Retention),Committed Indexed Log Events - 7 Days (Bundle of 1M),On-Demand Indexed Log Events - 7 Days (Bundle of 1M)|Committed Indexed Log Events - 7 Days (Bundle of 1M),Log Events - 7 Days (Bundle of 1M),Log Events (7 Day Retention Period),Logs - Indexed Log Events (7-day retention),logs,Logs,log-management,Logs,Logs,Logs,Log Management,Logs,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-90DAY,logs_indexed_90day,logs_indexed_90day|logs_indexed,log event,Indexed Logs (90 Day Retention),logs_indexed_90day,Indexed Logs (90 Day Retention),Committed Indexed Log Events - 90 Days (Bundle of 1M),Committed Indexed Log Events - 90 Days (Bundle of 1M)|On-Demand Indexed Log Events - 90 Days (Bundle of 1M),Log Events - 90 Days (Bundle of 1M),Log Events (90 Day Retention Period),,logs,Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-8DAY,logs_indexed_custom_retention,logs_indexed_custom_retention|logs_indexed,log event,Indexed Logs (Custom Retention),logs_indexed_custom_retention,Indexed Logs (Custom Retention),Committed Indexed Log Events - 8 Days (Bundle of 1M),Committed Indexed Log Events - 8 Days (Bundle of 1M)|On-Demand Indexed Log Events - 8 Days (Bundle of 1M),Custom - Log Events - 8 Days (Bundle of 1M),Log Events (8 Day Retention Period),,logs,Logs,log-management,Logs,Logs,Logs,,,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOG-INGEST,logs_ingested,logs_ingested,ingested log,Ingested Logs,logs_ingested,Ingested Logs,Committed Log Ingestion,Committed Log Ingestion,Log Ingestion,Log Ingestion,Logs - Ingestion,logs,Logs,log-management,Logs,Logs,Logs,Log Management,Logs,logs,logs,Invoicing - Logs,Ingested Logs,Logs
LOGS-INGEST-WAIVER,logs_ingested_waiver,logs_ingested_waiver,,,logs_ingested_waiver,unconfigured,,,Log Ingestion Waiver,Log Ingestion Waiver,,unconfigured,unconfigured,,Logs,,,,,,,,,
NETFLOW-MONITORING,netflow_monitoring,netflow_monitoring,netflow record,NetFlow Records,netflow_record,NetFlow Records,Committed NetFlow Monitoring - 30 Days (Bundle of 1M),On-Demand NetFlow Monitoring - 30 Days (Bundle of 1M)|Committed NetFlow Monitoring - 30 Days (Bundle of 1M),NetFlow Monitoring - 30 Days (Bundle of 1M),NetFlow Monitoring (30 Day Retention Period),NetFlow Monitoring (30-day retention),network,Network,network,Network,Network,Infrastructure,Network Device Monitoring,Infrastructure,network,infrastructure,Invoicing - Monitoring,NPM,NPM
